190426_coupler_1pH_NbTiN De-Embedded Nominal: tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3400.0
Frequency GHz, DB[S13]
3,-26.7588
4,-24.1342
5,-22.1632
6,-20.7401
7,-19.8474
8,-19.4627

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3100.0
Frequency GHz, DB[S13]
2,-30.1283
3,-26.4619
4,-23.8404
5,-21.8917
6,-20.5211
7,-19.7136
8,-19.436

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3200.0
Frequency GHz, DB[S13]
2,-29.8455
3,-26.1744
4,-23.5575
5,-21.6348
6,-20.3226
7,-19.6061
8,-19.4381

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3300.0
Frequency GHz, DB[S13]
2,-29.5716
3,-25.8961
4,-23.2854
5,-21.3927
6,-20.1446
7,-19.5241
8,-19.4672

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3400.0
Frequency GHz, DB[S13]
2,-29.3105
3,-25.6303
4,-23.0267
5,-21.1667
6,-19.987
7,-19.4652
8,-19.5181

